City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
108,Sao Luiz Gonzaga,BR,65.16,scattered clouds,-28.4083,-54.9608,"Hotel Ipê ""Sob nova Direção"""
109,Bignona,SN,70.21,broken clouds,12.8103,-16.2264,Hôtel Palmier
110,Shamgarh,IN,73.78,clear sky,24.1833,75.6333,Hotel Shree Onkar Palace
111,Bredasdorp,ZA,66.27,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
115,Rabo De Peixe,PT,60.28,broken clouds,37.8,-25.5833,Quinta das Giestas
119,Key Largo,US,72.99,clear sky,25.0865,-80.4473,Bayside Inn Key Largo
121,Ribeira Grande,PT,65.26,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
125,Comodoro Rivadavia,AR,66.06,clear sky,-45.8667,-67.5,Austral Hotel
129,Leland,US,61.97,clear sky,34.2563,-78.0447,Leland Station
130,Ponta Do Sol,PT,65.03,overcast clouds,32.6667,-17.1,Hotel do Campo
139,Port Lincoln,AU,63.54,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
140,San Cristobal,VE,69.98,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
143,Mount Gambier,AU,64.31,overcast clouds,-37.8333,140.7667,The Commodore
144,Cordoba,AR,72.25,light rain,-31.4135,-64.1811,Hotel Sussex
146,Te Anau,NZ,60.12,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
147,Burnie,AU,61.93,clear sky,-41.0667,145.9167,Beachfront Voyager Motor Inn
151,Xiongzhou,CN,66.43,scattered clouds,25.1167,114.3,Xinhewan Business Hotel
154,Road Town,VG,79.0,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
155,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
158,Oro Valley,US,64.22,scattered clouds,32.3909,-110.9665,"El Conquistador Tucson, A Hilton Resort"
161,Tura,IN,77.36,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
166,Camacupa,AO,65.5,overcast clouds,-12.0167,17.4833,seviremde seni
168,Coruripe,BR,77.32,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
171,Santo Domingo,DO,77.04,overcast clouds,18.5001,-69.9886,Cabañas City Heart
174,Camacha,PT,61.56,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
186,Ngunguru,NZ,69.17,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
187,Avarua,CK,75.25,heavy intensity rain,-21.2078,-159.775,Paradise Inn
189,Touros,BR,79.7,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
190,Nouadhibou,MR,60.78,clear sky,20.931,-17.0347,El Medina
191,Warri,NG,78.33,overcast clouds,5.5167,5.75,BON Hotel Delta
192,Kaitangata,NZ,67.93,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
193,Ambam,CM,68.9,overcast clouds,2.3833,11.2833,Escapade De La Vallée
194,Goroka,PG,71.58,broken clouds,-6.0834,145.3873,Bird of Paradise Hotel & Apartments
199,Lima,PE,65.89,scattered clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
209,Alvaraes,BR,72.45,overcast clouds,-3.2208,-64.8042,Av. Castelo Branco. Ginásio Ermelino vieira.
210,Punto Fijo,VE,79.21,broken clouds,11.6956,-70.1996,Santa Fe Inn Hotel
213,Ghanzi,BW,79.61,light rain,-21.5667,21.7833,Ghanzi Farmhouse
214,Macau,MO,72.72,clear sky,22.2006,113.5461,Grand Emperor Hotel
216,Yunyang,CN,62.78,clear sky,33.4474,112.7142,Post & Telecom Hotel
217,Esmeraldas,BR,68.31,few clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
221,Kaeo,NZ,69.33,overcast clouds,-35.1,173.7833,Bushido Lodge
224,Puerto Baquerizo Moreno,EC,67.3,few clouds,-0.9,-89.6,Hotel los Algarrobos
225,Effingham,US,61.11,overcast clouds,32.3669,-81.3332,Countryside Village
227,Van Buren,US,61.18,mist,35.4368,-94.3483,Hampton Inn Van Buren
228,Conceicao Do Araguaia,BR,71.4,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
235,Ruteng,ID,73.45,overcast clouds,-8.6136,120.4721,Hotel FX 72
243,Sassandra,CI,76.96,light rain,4.95,-6.0833,la terrasse
246,Udaipura,IN,76.77,clear sky,23.0833,78.5,Hotel Kanha Palace
